Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|34.l 2ND FLOOR WALLS (LOFT) - ELVA - ELVB - ELVC,|34.l 2ND FLOOR WALLS (LOFT),4,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|34.l 2ND FLOOR WALLS (LOFT),ELVA,ELVB,ELVC,,|34.l 2ND FLOOR WALLS (LOFT),,,,|34,.l 2ND FLOOR WALLS (LOFT),4085,Lumber
|34.nl 2ND FLOOR WALLS (NO LOFT) - ELVA - ELVB - ELVC,|34.nl 2ND FLOOR WALLS (NO LOFT),4,"A, B, C",,"ELVA, ELVB, ELVC",4085,Lumber,,,|34.nl 2ND FLOOR WALLS (NO LOFT),ELVA,ELVB,ELVC,,|34.nl 2ND FLOOR WALLS (NO LOFT),,,,|34,.nl 2ND FLOOR WALLS (NO LOFT),4085,Lumber
|34.9t 2ND FLOOR WALLS 9',|34.9t 2ND FLOOR WALLS 9',4,,,,4085,Lumber,,,|34.9t 2ND FLOOR WALLS 9',,,,,|34.9t 2ND FLOOR WALLS 9',,,,|34,.9t 2ND FLOOR WALLS 9',4085,Lumber
|34.9t 2ND WALLS  9' CEILING - 92L,|34.9t 2ND WALLS 9' CEILING,4,,92L,92L,4085,Lumber,,,|34.9t 2ND WALLS 9' CEILING,92L,,,,|34.9t 2ND WALLS 9' CEILING,,,,|34,.9t 2ND WALLS 9' CEILING,4085,Lumber
|34BCD 2ND FLOOR WALLS,|34 2ND FLOOR WALLS,4,"B, C, D",,,4085,Lumber,,,|34 2ND FLOOR WALLS,,,,,|34 2ND FLOOR WALLS,,,,|34,2ND FLOOR WALLS,4085,Lumber
|34C 2ND FLOOR WALLS,|34 2ND FLOOR WALLS,4,C,,,4085,Lumber,,,|34 2ND FLOOR WALLS,,,,,|34 2ND FLOOR WALLS,,,,|34,2ND FLOOR WALLS,4085,Lumber
|34D 2ND FLOOR WALLS,|34 2ND FLOOR WALLS,4,D,,,4085,Lumber,,,|34 2ND FLOOR WALLS,,,,,|34 2ND FLOOR WALLS,,,,|34,2ND FLOOR WALLS,4085,Lumber
|34rfBC 2ND FLOOR WALLS READYFRAME,|34rf 2ND FLOOR WALLS READYFRAME,4,"B, C",,,4085,Lumber,,,|34rfBC 2ND FLOOR WALLS READYFRAME,,,,,|34rfBC 2ND FLOOR WALLS READYFRAME,,,,|34,rfBC 2ND FLOOR WALLS READYFRAME,4085,Lumber
|34rfBCD 2ND FLOOR WALLS READYFRAME,|34rf 2ND FLOOR WALLS READYFRAME,4,"B, C, D",,,4085,Lumber,,,|34rfBCD 2ND FLOOR WALLS READYFRAME,,,,,|34rfBCD 2ND FLOOR WALLS READYFRAME,,,,|34,rfBCD 2ND FLOOR WALLS READYFRAME,4085,Lumber
|34rfD 2ND FLOOR WALLS READYFRAME,|34rf 2ND FLOOR WALLS READYFRAME,4,D,,,4085,Lumber,,,|34rfD 2ND FLOOR WALLS READYFRAME,,,,,|34rfD 2ND FLOOR WALLS READYFRAME,,,,|34,rfD 2ND FLOOR WALLS READYFRAME,4085,Lumber
|40 ROOF,|40 ROOF,5,,,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40.60x EXTENDED GREAT ROOM ROOF - XGREAT - WO2,|40.60x EXTENDED GREAT ROOM ROOF,5,,"XGREAT, WO2","XGREAT, WO2",4085,Lumber,,,|40.60x EXTENDED GREAT ROOM ROOF,XGREAT,WO2,,,|40.60x EXTENDED GREAT ROOM ROOF,,,,|40,.60x EXTENDED GREAT ROOM ROOF,4085,Lumber
|40.61 ROOF SUNROOM - SUN,|40.61 ROOF SUNROOM,5,,SUN,SUN,4085,Lumber,,,|40.61 ROOF SUNROOM,SUN,,,,|40.61 ROOF SUNROOM,,,,|40,.61 ROOF SUNROOM,4085,Lumber
|40.80ACD OPT BUILD-OUT ROOF - ELVA - ELVC - ELVD - G767,|40.80 OPT BUILD,5,"A, C, D","OUT ROOF, G767","OUT ROOF, ELVA, ELVC, ELVD, G767",4085,Lumber,,,#SPILL!,,,,,|40.80ACD OPT BUILD,,,,|40,.80ACD OPT BUILD,4085,Lumber
|40B ROOF,|40 ROOF,5,B,,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40BC ROOF,|40 ROOF,5,"B, C",,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40BCD ROOF,|40 ROOF,5,"B, C, D",,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40C ROOF,|40 ROOF,5,C,,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40D ROOF,|40 ROOF,5,D,,,4085,Lumber,,,|40 ROOF,,,,,|40 ROOF,,,,|40,ROOF,4085,Lumber
|40gsC ROOF GABLE SHEETING,|40gs ROOF GABLE SHEETING,5,,,,4085,Lumber,,,|40gsC ROOF GABLE SHEETING,,,,,|40gsC ROOF GABLE SHEETING,,,,|40,gsC ROOF GABLE SHEETING,4085,Lumber
|40gsD ROOF GABLE SHEETING,|40gs ROOF GABLE SHEETING,5,,,,4085,Lumber,,,|40gsD ROOF GABLE SHEETING,,,,,|40gsD ROOF GABLE SHEETING,,,,|40,gsD ROOF GABLE SHEETING,4085,Lumber
|42.4AB OPT 4 CAR GARAGE TANDEM ROOF - 3CARTA - 3CARTB,|42.4 OPT 4 CAR GARAGE TANDEM ROOF,5,"A, B","3CARTA, 3CARTB","3CARTA, 3CARTB",4085,Lumber,,,|42.4AB OPT 4 CAR GARAGE TANDEM ROOF,3CARTA,3CARTB,,,|42.4AB OPT 4 CAR GARAGE TANDEM ROOF,,,,|42,.4AB OPT 4 CAR GARAGE TANDEM ROOF,4085,Lumber
|42.4C OPT 4 CAR GARAGE TANDEM ROOF - 3CARTC,|42.4 OPT 4 CAR GARAGE TANDEM ROOF,5,C,3CARTC,3CARTC,4085,Lumber,,,|42.4C OPT 4 CAR GARAGE TANDEM ROOF,3CARTC,,,,|42.4C OPT 4 CAR GARAGE TANDEM ROOF,,,,|42,.4C OPT 4 CAR GARAGE TANDEM ROOF,4085,Lumber
|42.4xA OPT 2 CAR GARAGE 4' EXT ROOF - 2CAR4XA,|42.4x OPT 2 CAR GARAGE 4' EXT ROOF,5,,2CAR4XA,2CAR4XA,4085,Lumber,,,|42.4xA OPT 2 CAR GARAGE 4' EXT ROOF,2CAR4XA,,,,|42.4xA OPT 2 CAR GARAGE 4' EXT ROOF,,,,|42,.4xA OPT 2 CAR GARAGE 4' EXT ROOF,4085,Lumber
|42.4xB OPT 2 CAR GARAGE 4' EXT ROOF - 2CAR4XB,|42.4x OPT 2 CAR GARAGE 4' EXT ROOF,5,,2CAR4XB,2CAR4XB,4085,Lumber,,,|42.4xB OPT 2 CAR GARAGE 4' EXT ROOF,2CAR4XB,,,,|42.4xB OPT 2 CAR GARAGE 4' EXT ROOF,,,,|42,.4xB OPT 2 CAR GARAGE 4' EXT ROOF,4085,Lumber
|42.4xC OPT 2 CAR GARAGE 4' EXT ROOF - 2CAR4XC,|42.4x OPT 2 CAR GARAGE 4' EXT ROOF,5,,2CAR4XC,2CAR4XC,4085,Lumber,,,|42.4xC OPT 2 CAR GARAGE 4' EXT ROOF,2CAR4XC,,,,|42.4xC OPT 2 CAR GARAGE 4' EXT ROOF,,,,|42,.4xC OPT 2 CAR GARAGE 4' EXT ROOF,4085,Lumber
|42.x4AB OPT 2 CAR GARAGE 4' EXT ROOF - 2CAR4XA - 2CAR4XB,|42.x4 OPT 2 CAR GARAGE 4' EXT ROOF,5,"A, B","2CAR4XA, 2CAR4XB","2CAR4XA, 2CAR4XB",4085,Lumber,,,|42.x4AB OPT 2 CAR GARAGE 4' EXT ROOF,2CAR4XA,2CAR4XB,,,|42.x4AB OPT 2 CAR GARAGE 4' EXT ROOF,,,,|42,.x4AB OPT 2 CAR GARAGE 4' EXT ROOF,4085,Lumber
|42.x4C OPT 2 CAR GARAGE 4' EXT ROOF - 2CAR4XC,|42.x4 OPT 2 CAR GARAGE 4' EXT ROOF,5,C,2CAR4XC,2CAR4XC,4085,Lumber,,,|42.x4C OPT 2 CAR GARAGE 4' EXT ROOF,2CAR4XC,,,,|42.x4C OPT 2 CAR GARAGE 4' EXT ROOF,,,,|42,.x4C OPT 2 CAR GARAGE 4' EXT ROOF,4085,Lumber
|42.x5AB OPT 2 CAR GARAGE 5' EXT ROOF -2CAR5XA - 2CAR5XB,|42.x5 OPT 2 CAR GARAGE 5' EXT ROOF,5,"A, B","2CAR5XA, 2CAR5XB","2CAR5XA, 2CAR5XB",4085,Lumber,,,|42.x5AB OPT 2 CAR GARAGE 5' EXT ROOF,2CAR5XA,2CAR5XB,,,|42.x5AB OPT 2 CAR GARAGE 5' EXT ROOF,,,,|42,.x5AB OPT 2 CAR GARAGE 5' EXT ROOF,4085,Lumber
|42.x5C OPT 2 CAR GARAGE 5' EXT ROOF - 2CAR5XC,|42.x5 OPT 2 CAR GARAGE 5' EXT ROOF,5,C,2CAR5XC,2CAR5XC,4085,Lumber,,,|42.x5C OPT 2 CAR GARAGE 5' EXT ROOF,2CAR5XC,,,,|42.x5C OPT 2 CAR GARAGE 5' EXT ROOF,,,,|42,.x5C OPT 2 CAR GARAGE 5' EXT ROOF,4085,Lumber
|42A OPT 3RD CAR GARAGE ROOF - 3CARA,|42 OPT 3RD CAR GARAGE ROOF,5,A,3CARA,3CARA,4085,Lumber,,,|42 OPT 3RD CAR GARAGE ROOF,3CARA,,,,|42 OPT 3RD CAR GARAGE ROOF,,,,|42,OPT 3RD CAR GARAGE ROOF,4085,Lumber
|42AB OPT 3RD CAR GARAGE ROOF - 3CARA - 3CARB,|42 OPT 3RD CAR GARAGE ROOF,5,"A, B","3CARA, 3CARB","3CARA, 3CARB",4085,Lumber,,,|42 OPT 3RD CAR GARAGE ROOF,3CARA,3CARB,,,|42 OPT 3RD CAR GARAGE ROOF,,,,|42,OPT 3RD CAR GARAGE ROOF,4085,Lumber
|42BCD 3RD CAR GARAGE ROOF ,|42 3RD CAR GARAGE ROOF,5,"B, C, D",,,4085,Lumber,,,|42 3RD CAR GARAGE ROOF,,,,,|42 3RD CAR GARAGE ROOF,,,,|42,3RD CAR GARAGE ROOF,4085,Lumber
|42BD 3RD CAR GARAGE ROOF ,|42 3RD CAR GARAGE ROOF,5,"B, D",,,4085,Lumber,,,|42 3RD CAR GARAGE ROOF,,,,,|42 3RD CAR GARAGE ROOF,,,,|42,3RD CAR GARAGE ROOF,4085,Lumber
|42C 3RD CAR GARAGE ROOF ,|42 3RD CAR GARAGE ROOF,5,C,,,4085,Lumber,,,|42 3RD CAR GARAGE ROOF,,,,,|42 3RD CAR GARAGE ROOF,,,,|42,3RD CAR GARAGE ROOF,4085,Lumber
|43 COVERED PATIO ROOF - COVP,|43 COVERED PATIO ROOF,5,,COVP,COVP,4085,Lumber,,,|43 COVERED PATIO ROOF,COVP,,,,|43 COVERED PATIO ROOF,,,,|43,COVERED PATIO ROOF,4085,Lumber
|43.1 OPT COVERED PATIO 1 ROOF,|43.1 OPT COVERED PATIO 1 ROOF,5,,,,4085,Lumber,,,|43.1 OPT COVERED PATIO 1 ROOF,,,,,|43.1 OPT COVERED PATIO 1 ROOF,,,,|43,.1 OPT COVERED PATIO 1 ROOF,4085,Lumber
|43.2 OPT COVERED PATIO 2 ROOF,|43.2 OPT COVERED PATIO 2 ROOF,5,,,,4085,Lumber,,,|43.2 OPT COVERED PATIO 2 ROOF,,,,,|43.2 OPT COVERED PATIO 2 ROOF,,,,|43,.2 OPT COVERED PATIO 2 ROOF,4085,Lumber
|43.3 OPT COVERED PATIO 2 ROOF - COVD3 - COVP3,|43.3 OPT COVERED PATIO 2 ROOF,5,,"COVD3, COVP3","COVD3, COVP3",4085,Lumber,,,|43.3 OPT COVERED PATIO 2 ROOF,COVD3,COVP3,,,|43.3 OPT COVERED PATIO 2 ROOF,,,,|43,.3 OPT COVERED PATIO 2 ROOF,4085,Lumber
|43.61 SUNROOM COVERED PATIO ROOF - COVPSN1,|43.61 SUNROOM COVERED PATIO ROOF,5,,COVPSN1,COVPSN1,4085,Lumber,,,|43.61 SUNROOM COVERED PATIO ROOF,COVPSN1,,,,|43.61 SUNROOM COVERED PATIO ROOF,,,,|43,.61 SUNROOM COVERED PATIO ROOF,4085,Lumber
|43.sr COVERED PATIO @ SUNROOM ROOF - ELVA - ELVB - ELVC - COVPSN1 - COVD1SN,|43.sr COVERED PATIO @ SUNROOM ROOF,5,"A, B, C","COVPSN1, COVD1SN","ELVA, ELVB, ELVC, COVPSN1, COVD1SN",4085,Lumber,,,#SPILL!,,,,,|43.sr COVERED PATIO @ SUNROOM ROOF,,,,|43,.sr COVERED PATIO @ SUNROOM ROOF,4085,Lumber
|43.x EXTENDED COVERED PATIO ROOF - COVPX,|43.x EXTENDED COVERED PATIO ROOF,5,,COVPX,COVPX,4085,Lumber,,,|43.x EXTENDED COVERED PATIO ROOF,COVPX,,,,|43.x EXTENDED COVERED PATIO ROOF,,,,|43,.x EXTENDED COVERED PATIO ROOF,4085,Lumber
|45 EXT COVERED PATIO,|45 EXT COVERED PATIO,5,,,,4085,Lumber,,,|45 EXT COVERED PATIO,,,,,|45 EXT COVERED PATIO,,,,|45,EXT COVERED PATIO,4085,Lumber
|45.1 OPT COVERED DECK ROOF - COVD,|45.1 OPT COVERED DECK ROOF,5,,COVD,COVD,4085,Lumber,,,|45.1 OPT COVERED DECK ROOF,COVD,,,,|45.1 OPT COVERED DECK ROOF,,,,|45,.1 OPT COVERED DECK ROOF,4085,Lumber
|45.2 OPT COVERED DECK 2 ROOF - COVD2,|45.2 OPT COVERED DECK 2 ROOF,5,,COVD2,COVD2,4085,Lumber,,,|45.2 OPT COVERED DECK 2 ROOF,COVD2,,,,|45.2 OPT COVERED DECK 2 ROOF,,,,|45,.2 OPT COVERED DECK 2 ROOF,4085,Lumber
|45.3 OPT COVERED DECK ROOF - COVD3,|45.3 OPT COVERED DECK ROOF,5,,COVD3,COVD3,4085,Lumber,,,|45.3 OPT COVERED DECK ROOF,COVD3,,,,|45.3 OPT COVERED DECK ROOF,,,,|45,.3 OPT COVERED DECK ROOF,4085,Lumber
|58 HOUSEWRAP,|58 HOUSEWRAP,6,,,,4155,Siding,,,|58 HOUSEWRAP,,,,,|58 HOUSEWRAP,,,,|58,HOUSEWRAP,4155,Siding
|58BCD HOUSEWRAP,|58 HOUSEWRAP,6,"B, C, D",,,4155,Siding,,,|58 HOUSEWRAP,,,,,|58 HOUSEWRAP,,,,|58,HOUSEWRAP,4155,Siding
|58CD HOUSEWRAP,|58 HOUSEWRAP,6,"C, D",,,4155,Siding,,,|58 HOUSEWRAP,,,,,|58 HOUSEWRAP,,,,|58,HOUSEWRAP,4155,Siding
|60.02 OPT GREAT ROOM WINDOWS SIDING - WDWGREAT,|60.02 OPT GREAT ROOM WINDOWS SIDING,7,,WDWGREAT,WDWGREAT,4155,Siding,,,|60.02 OPT GREAT ROOM WINDOWS SIDING,WDWGREAT,,,,|60.02 OPT GREAT ROOM WINDOWS SIDING,,,,|60,.02 OPT GREAT ROOM WINDOWS SIDING,4155,Siding
|60.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE - WDWGRALT,|60.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,7,,WDWGRALT,WDWGRALT,4155,Siding,,,|60.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,WDWGRALT,,,,|60.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,,,,|60,.02a OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE,4155,Siding
|60.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM SIDING - WDWGRTX,|60.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM SIDING,7,,WDWGRTX,WDWGRTX,4155,Siding,,,|60.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM SIDING,WDWGRTX,,,,|60.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM SIDING,,,,|60,.02x OPT GREAT ROOM WINDOW(S) @ EXT GRT RM SIDING,4155,Siding
|60.11 OPT MASTER BEDROOM WINDOWS SIDING - WDWMBR,|60.11 OPT MASTER BEDROOM WINDOWS SIDING,7,,WDWMBR,WDWMBR,4155,Siding,,,|60.11 OPT MASTER BEDROOM WINDOWS SIDING,WDWMBR,,,,|60.11 OPT MASTER BEDROOM WINDOWS SIDING,,,,|60,.11 OPT MASTER BEDROOM WINDOWS SIDING,4155,Siding
|60.12 OPT CENTER MEET DOOR SIDING - MSLIDE1,|60.12 OPT CENTER MEET DOOR SIDING,7,,MSLIDE1,MSLIDE1,4155,Siding,,,|60.12 OPT CENTER MEET DOOR SIDING,MSLIDE1,,,,|60.12 OPT CENTER MEET DOOR SIDING,,,,|60,.12 OPT CENTER MEET DOOR SIDING,4155,Siding
|60.13 OPT 12' MULTI-SLIDE DOOR SIDING - MSLIDE2,|60.13 OPT 12' MULTI,7,,"SLIDE DOOR SIDING, MSLIDE2","SLIDE DOOR SIDING, MSLIDE2",4155,Siding,,,|60.13 OPT 12' MULTI,SLIDE DOOR SIDING,MSLIDE2,,,|60.13 OPT 12' MULTI,,,,|60,.13 OPT 12' MULTI,4155,Siding
|60.14 OPT BEDROOM 2 WINDOW SIDING - WDWBR2,|60.14 OPT BEDROOM 2 WINDOW SIDING,7,,WDWBR2,WDWBR2,4155,Siding,,,|60.14 OPT BEDROOM 2 WINDOW SIDING,WDWBR2,,,,|60.14 OPT BEDROOM 2 WINDOW SIDING,,,,|60,.14 OPT BEDROOM 2 WINDOW SIDING,4155,Siding
|60.15 OPT BEDROOM 3 WINDOW SIDING - WDWBR3,|60.15 OPT BEDROOM 3 WINDOW SIDING,7,,WDWBR3,WDWBR3,4155,Siding,,,|60.15 OPT BEDROOM 3 WINDOW SIDING,WDWBR3,,,,|60.15 OPT BEDROOM 3 WINDOW SIDING,,,,|60,.15 OPT BEDROOM 3 WINDOW SIDING,4155,Siding
|60.16 OPT BEDROOM 4 WINDOW SIDING - WDWBR4,|60.16 OPT BEDROOM 4 WINDOW SIDING,7,,WDWBR4,WDWBR4,4155,Siding,,,|60.16 OPT BEDROOM 4 WINDOW SIDING,WDWBR4,,,,|60.16 OPT BEDROOM 4 WINDOW SIDING,,,,|60,.16 OPT BEDROOM 4 WINDOW SIDING,4155,Siding
|60.17 OPT BEDROOM 5 WINDOW SIDING - WDWBR5,|60.17 OPT BEDROOM 5 WINDOW SIDING,7,,WDWBR5,WDWBR5,4155,Siding,,,|60.17 OPT BEDROOM 5 WINDOW SIDING,WDWBR5,,,,|60.17 OPT BEDROOM 5 WINDOW SIDING,,,,|60,.17 OPT BEDROOM 5 WINDOW SIDING,4155,Siding
|60.19 OPT STUDY WINDOW SIDING - WDWSTUDY,|60.19 OPT STUDY WINDOW SIDING,7,,WDWSTUDY,WDWSTUDY,4155,Siding,,,|60.19 OPT STUDY WINDOW SIDING,WDWSTUDY,,,,|60.19 OPT STUDY WINDOW SIDING,,,,|60,.19 OPT STUDY WINDOW SIDING,4155,Siding
|60.21 OPT DBA DELUXE MASTER BATH 1  SIDING - DBA,|60.21 OPT DBA DELUXE MASTER BATH 1 SIDING,7,,DBA,DBA,4155,Siding,,,|60.21 OPT DBA DELUXE MASTER BATH 1 SIDING,DBA,,,,|60.21 OPT DBA DELUXE MASTER BATH 1 SIDING,,,,|60,.21 OPT DBA DELUXE MASTER BATH 1 SIDING,4155,Siding
|60.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING - DBA2,|60.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING,7,,DBA2,DBA2,4155,Siding,,,|60.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING,DBA2,,,,|60.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING,,,,|60,.22 OPT DBA2 DELUXE MASTER BATH 2 SIDING,4155,Siding
|60.24 OPT BEDROOM 4 SIDING - ABR4BA,|60.24 OPT BEDROOM 4 SIDING,7,,ABR4BA,ABR4BA,4155,Siding,,,|60.24 OPT BEDROOM 4 SIDING,ABR4BA,,,,|60.24 OPT BEDROOM 4 SIDING,,,,|60,.24 OPT BEDROOM 4 SIDING,4155,Siding
|60.27 OPT MBR SITTING SIDING - SITTING,|60.27 OPT MBR SITTING SIDING,7,,SITTING,SITTING,4155,Siding,,,|60.27 OPT MBR SITTING SIDING,SITTING,,,,|60.27 OPT MBR SITTING SIDING,,,,|60,.27 OPT MBR SITTING SIDING,4155,Siding
|60.60x EXTENDED GREAT ROOM SIDING - XGREAT - WO2,|60.60x EXTENDED GREAT ROOM SIDING,7,,"XGREAT, WO2","XGREAT, WO2",4155,Siding,,,|60.60x EXTENDED GREAT ROOM SIDING,XGREAT,WO2,,,|60.60x EXTENDED GREAT ROOM SIDING,,,,|60,.60x EXTENDED GREAT ROOM SIDING,4155,Siding
|60.61 SIDING SUNROOM - SUN,|60.61 SIDING SUNROOM,7,,SUN,SUN,4155,Siding,,,|60.61 SIDING SUNROOM,SUN,,,,|60.61 SIDING SUNROOM,,,,|60,.61 SIDING SUNROOM,4155,Siding
|60.80CD OPT BUILD-OUT WALL SIDING - ELVC - ELVD - G767,|60.80 OPT BUILD,7,"C, D","OUT WALL SIDING, G767","OUT WALL SIDING, ELVC, ELVD, G767",4155,Siding,,,|60.80CD OPT BUILD,OUT WALL SIDING,ELVC,ELVD,G767,|60.80CD OPT BUILD,,,,|60,.80CD OPT BUILD,4155,Siding
|60.pr PORCH RAIL - PORRAIL,|60.pr PORCH RAIL,7,,PORRAIL,PORRAIL,4155,Siding,,,|60.pr PORCH RAIL,PORRAIL,,,,|60.pr PORCH RAIL,,,,|60,.pr PORCH RAIL,4155,Siding
|60.pwA EXTERIOR POST WRAP - ELVA,|60.pw EXTERIOR POST WRAP,7 or 8,A,,ELVA,4155,Siding,,,|60.pwA EXTERIOR POST WRAP,ELVA,,,,|60.pwA EXTERIOR POST WRAP,,,,|60,.pwA EXTERIOR POST WRAP,4155,Siding
|60.tc SIDING - TLLCRWL,|60.tc SIDING,7,,TLLCRWL,TLLCRWL,4155,Siding,,,|60.tc SIDING,TLLCRWL,,,,|60.tc SIDING,,,,|60,.tc SIDING,4155,Siding
|60B EXTERIOR TRIM AND SIDING,|60 EXTERIOR TRIM AND SIDING,7,B,,,4155,Siding,,,|60 EXTERIOR TRIM AND SIDING,,,,,|60 EXTERIOR TRIM AND SIDING,,,,|60,EXTERIOR TRIM AND SIDING,4155,Siding
|60BCD EXTERIOR TRIM AND SIDING,|60 EXTERIOR TRIM AND SIDING,7,"B, C, D",,,4155,Siding,,,|60 EXTERIOR TRIM AND SIDING,,,,,|60 EXTERIOR TRIM AND SIDING,,,,|60,EXTERIOR TRIM AND SIDING,4155,Siding
|60C EXTERIOR TRIM AND SIDING,|60 EXTERIOR TRIM AND SIDING,7,C,,,4155,Siding,,,|60 EXTERIOR TRIM AND SIDING,,,,,|60 EXTERIOR TRIM AND SIDING,,,,|60,EXTERIOR TRIM AND SIDING,4155,Siding
|60D EXTERIOR TRIM AND SIDING,|60 EXTERIOR TRIM AND SIDING,7,D,,,4155,Siding,,,|60 EXTERIOR TRIM AND SIDING,,,,,|60 EXTERIOR TRIM AND SIDING,,,,|60,EXTERIOR TRIM AND SIDING,4155,Siding
|60ecB EXTERIOR TRIM AND SIDING CORNER ENHANCED ,|60ec EXTERIOR TRIM AND SIDING CORNER ENHANCED,7,,,,4155,Siding,,,|60ecB EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,,|60ecB EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,|60,ecB EXTERIOR TRIM AND SIDING CORNER ENHANCED,4155,Siding
|60ecC EXTERIOR TRIM AND SIDING CORNER ENHANCED ,|60ec EXTERIOR TRIM AND SIDING CORNER ENHANCED,7,,,,4155,Siding,,,|60ecC EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,,|60ecC EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,|60,ecC EXTERIOR TRIM AND SIDING CORNER ENHANCED,4155,Siding
|60ecD EXTERIOR TRIM AND SIDING CORNER ENHANCED ,|60ec EXTERIOR TRIM AND SIDING CORNER ENHANCED,7,,,,4155,Siding,,,|60ecD EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,,|60ecD EXTERIOR TRIM AND SIDING CORNER ENHANCED,,,,|60,ecD EXTERIOR TRIM AND SIDING CORNER ENHANCED,4155,Siding
|60erB EXTERIOR TRIM AND SIDING REAR ENHANCED ,|60er EXTERIOR TRIM AND SIDING REAR ENHANCED,7,,,,4155,Siding,,,|60erB EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,,|60erB EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,|60,erB EXTERIOR TRIM AND SIDING REAR ENHANCED,4155,Siding
|60erC EXTERIOR TRIM AND SIDING REAR ENHANCED ,|60er EXTERIOR TRIM AND SIDING REAR ENHANCED,7,,,,4155,Siding,,,|60erC EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,,|60erC EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,|60,erC EXTERIOR TRIM AND SIDING REAR ENHANCED,4155,Siding
|60erD EXTERIOR TRIM AND SIDING REAR ENHANCED ,|60er EXTERIOR TRIM AND SIDING REAR ENHANCED,7,,,,4155,Siding,,,|60erD EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,,|60erD EXTERIOR TRIM AND SIDING REAR ENHANCED,,,,|60,erD EXTERIOR TRIM AND SIDING REAR ENHANCED,4155,Siding
|60fwC FAUX WOOD ,|60fw FAUX WOOD,7,,,,4155,Siding,,,|60fwC FAUX WOOD,,,,,|60fwC FAUX WOOD,,,,|60,fwC FAUX WOOD,4155,Siding
